
Sync-Point 0, Time: 0.0909091, Redshift: 10, Systemstep: 0, Dloga: 0, Nsync-grv:      65536, Nsync-hyd:      32768
Sync-Point 74, Time: 0.340555, Redshift: 1.93639, Systemstep: 0.00317501, Dloga: 0.00936678, Nsync-grv:          0, Nsync-hyd:          5

Sync-Point 75, Time: 0.34376, Redshift: 1.90901, Systemstep: 0.00320489, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 76, Time: 0.346995, Redshift: 1.88189, Systemstep: 0.00323505, Dloga: 0.00936678, Nsync-grv:         10, Nsync-hyd:         28

Sync-Point 77, Time: 0.35026, Redshift: 1.85502, Systemstep: 0.00326549, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 78, Time: 0.353556, Redshift: 1.8284, Systemstep: 0.00329622, Dloga: 0.00936678, Nsync-grv:         36, Nsync-hyd:         50

Sync-Point 79, Time: 0.356884, Redshift: 1.80203, Systemstep: 0.00332724, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 80, Time: 0.360242, Redshift: 1.77591, Systemstep: 0.00335855, Dloga: 0.00936678, Nsync-grv:         57, Nsync-hyd:         67

Sync-Point 81, Time: 0.363632, Redshift: 1.75003, Systemstep: 0.00339016, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 82, Time: 0.367054, Redshift: 1.72439, Systemstep: 0.00342207, Dloga: 0.00936678, Nsync-grv:         77, Nsync-hyd:         89

Sync-Point 83, Time: 0.370509, Redshift: 1.69899, Systemstep: 0.00345427, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 84, Time: 0.373995, Redshift: 1.67383, Systemstep: 0.00348678, Dloga: 0.00936678, Nsync-grv:         99, Nsync-hyd:        113

Sync-Point 85, Time: 0.377515, Redshift: 1.6489, Systemstep: 0.00351959, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 86, Time: 0.381068, Redshift: 1.62421, Systemstep: 0.00355271, Dloga: 0.00936678, Nsync-grv:        114, Nsync-hyd:        124

Sync-Point 87, Time: 0.384654, Redshift: 1.59974, Systemstep: 0.00358615, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 88, Time: 0.388274, Redshift: 1.5755, Systemstep: 0.00361989, Dloga: 0.00936678, Nsync-grv:        133, Nsync-hyd:        137

Sync-Point 89, Time: 0.391928, Redshift: 1.55149, Systemstep: 0.00365396, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 90, Time: 0.395616, Redshift: 1.5277, Systemstep: 0.00368835, Dloga: 0.00936678, Nsync-grv:        151, Nsync-hyd:        149

Sync-Point 91, Time: 0.399339, Redshift: 1.50414, Systemstep: 0.00372306, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 92, Time: 0.403097, Redshift: 1.48079, Systemstep: 0.00375809, Dloga: 0.00936678, Nsync-grv:        167, Nsync-hyd:        157

Sync-Point 93, Time: 0.406891, Redshift: 1.45766, Systemstep: 0.00379346, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 94, Time: 0.41072, Redshift: 1.43475, Systemstep: 0.00382916, Dloga: 0.00936678, Nsync-grv:        192, Nsync-hyd:        179

Sync-Point 95, Time: 0.414585, Redshift: 1.41205, Systemstep: 0.0038652, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 96, Time: 0.418487, Redshift: 1.38956, Systemstep: 0.00390157, Dloga: 0.00936678, Nsync-grv:        213, Nsync-hyd:        185

Sync-Point 97, Time: 0.422425, Redshift: 1.36728, Systemstep: 0.00393829, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 98, Time: 0.4264, Redshift: 1.34521, Systemstep: 0.00397535, Dloga: 0.00936678, Nsync-grv:        235, Nsync-hyd:        201

Sync-Point 99, Time: 0.430413, Redshift: 1.32335, Systemstep: 0.00401276, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 100, Time: 0.434464, Redshift: 1.30169, Systemstep: 0.00405052, Dloga: 0.00936678, Nsync-grv:        274, Nsync-hyd:        218

Sync-Point 101, Time: 0.438552, Redshift: 1.28023, Systemstep: 0.00408864, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 102, Time: 0.442679, Redshift: 1.25897, Systemstep: 0.00412712, Dloga: 0.00936678, Nsync-grv:        303, Nsync-hyd:        238

Sync-Point 103, Time: 0.446845, Redshift: 1.23791, Systemstep: 0.00416596, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 104, Time: 0.45105, Redshift: 1.21705, Systemstep: 0.00420516, Dloga: 0.00936678, Nsync-grv:        332, Nsync-hyd:        255

